# w0Avg, cPguess, qPguess_min
0.010000, 0.60059692, 0.64338830
0.020000, 0.64090686, 0.69719371
0.030000, 0.67139163, 0.73703841
0.040000, 0.69669371, 0.76935751
0.050000, 0.71862629, 0.79644499
0.060000, 0.73812503, 0.82074882
0.070000, 0.75574872, 0.84098769
0.080000, 0.77186313, 0.85890877
0.090000, 0.78672345, 0.87490529
0.100000, 0.80051615, 0.88926408
0.110000, 0.81338252, 0.90220459
0.120000, 0.82543265, 0.91389711
0.130000, 0.83675433, 0.92447848
0.140000, 0.84741893, 0.93406033
0.150000, 0.85748534, 0.94273549
0.160000, 0.86700287, 0.95058144
0.170000, 0.87601328, 0.95766506
0.180000, 0.88455226, 0.96404364
0.190000, 0.89265063, 0.96976730
0.200000, 0.90033516, 0.97488004
0.210000, 0.90762930, 0.97942110
0.220000, 0.91455367, 0.98342569
0.230000, 0.92112656, 0.98692569
0.240000, 0.92736420, 0.98995027
0.250000, 0.93328109, 0.99252644
0.260000, 0.93889023, 0.99467937
0.270000, 0.94420329, 0.99643297
0.280000, 0.94923080, 0.99781014
0.290000, 0.95398224, 0.99883275
0.300000, 0.95846623, 0.99952283
0.310000, 0.96269055, 0.99990312
0.320000, 0.96666226, 1.00000000
0.330000, 0.97038777, 1.00000000
0.340000, 0.97387290, 1.00000000
0.350000, 0.97712293, 1.00000000
0.360000, 0.98014264, 1.00000000
0.370000, 0.98293635, 1.00000000
0.380000, 0.98550799, 1.00000000
0.390000, 0.98786106, 1.00000000
0.400000, 0.98999872, 1.00000000
0.410000, 0.99192380, 1.00000000
0.420000, 0.99363878, 1.00000000
0.430000, 0.99514585, 1.00000000
0.440000, 0.99644691, 1.00000000
0.450000, 0.99754359, 1.00000000
0.460000, 0.99843725, 1.00000000
0.470000, 0.99912897, 1.00000000
0.480000, 0.99961960, 1.00000000
0.490000, 0.99990974, 1.00000000
0.500000, 1.00000000, 1.00000000
