omega,non_EA,EA,EA_analytic
0.01000000,0.39799497,0.39961937,0.39840600
0.02000000,0.56000000,0.56421180,0.56107200
0.03000000,0.68234888,0.68957098,0.68420100
0.04000000,0.78383672,0.79431591,0.78654200
0.05000000,0.87177979,0.88566590,0.87538900
0.06000000,0.94994737,0.95449285,0.95449300
0.07000000,1.02058807,1.04150382,1.02609300
0.08000000,1.08517280,1.10963183,1.09164900
0.09000000,1.14472704,1.17270951,1.15218100
0.10000000,1.20000000,1.23146302,1.20843200
0.11000000,1.25155903,1.28643991,1.26096400
0.12000000,1.29984614,1.33806481,1.31021300
0.13000000,1.34521374,1.38667425,1.35652900
0.14000000,1.38794813,1.43253975,1.40019400
0.15000000,1.42828569,1.47588407,1.44144000
0.16000000,1.46642422,1.51689151,1.48046200
0.17000000,1.50253120,1.55571655,1.51742400
0.18000000,1.53674982,1.59248985,1.55246500
0.19000000,1.56920362,1.62732216,1.58570600
0.20000000,1.60000000,1.66030783,1.61725100
0.21000000,1.62923295,1.69152813,1.64719000
0.22000000,1.65698521,1.72105220,1.67560300
0.23000000,1.68333003,1.74893958,1.70256000
0.24000000,1.70833252,1.77524105,1.72812100
0.25000000,1.73205081,1.79999988,1.75234100
0.26000000,1.75453698,1.82325215,1.77526900
0.27000000,1.77583783,1.84502821,1.79694500
0.28000000,1.79599555,1.86535286,1.81740900
0.29000000,1.81504821,1.88424518,1.83669400
0.30000000,1.83303028,1.90171981,1.85482800
0.31000000,1.84997297,1.91778632,1.87183700
0.32000000,1.86590461,1.93244996,1.88774300
0.33000000,1.88085087,1.94571131,1.90256600
0.34000000,1.89483509,1.95756696,1.91632100
0.35000000,1.90787840,1.96800804,1.92902300
0.36000000,1.92000000,1.97702204,1.94068000
0.37000000,1.93121723,1.98459034,1.95130100
0.38000000,1.94154578,1.99068983,1.96089000
0.39000000,1.95099974,1.99529148,1.96945000
0.40000000,1.95959179,1.99836039,1.97697800
0.41000000,1.96733322,1.99985296,1.98347000
0.42000000,1.97423403,1.99999995,1.98891700
0.43000000,1.98030301,1.99999965,1.99330500
0.44000000,1.98554778,1.99999988,1.99661700
0.45000000,1.98997487,1.99999969,1.99882700
0.46000000,1.99358973,1.99999962,1.99989900
0.47000000,1.99639675,1.99999999,2.00000000
0.48000000,1.99839936,2.00000000,2.00000000
0.49000000,1.99959996,2.00000000,2.00000000
0.50000000,2.00000000,2.00000000,2.00000000
